user_id,problem_id,submission_count,cpu_time_min,cpu_time_max,memory_mean,code_size_mean,total_lines_mean,avg_line_spacing_mean,total_comments_mean,if_else_count_mean,total_variables_mean,loop_count_mean,capitalized_variable_names_mean,percentage_for_loops_mean,Accepted,Runtime Error,Time Limit Exceeded,Wrong Answer
u000022466,p03606,1,25,25,3444,305,22,0.5,0,0,5,1,4,100.0,1,0,0,0
u000022466,p03611,1,145,145,15244,577,36,0.4,1,2,9,2,5,100.0,1,0,0,0
u000037600,p02576,3,32,34,9148,59,4,0.0,0,0,1,0,0,0.0,1,0,0,2
u000037600,p02577,2,79,83,10576,106,9,0.0,0,1,3,1,0,100.0,1,0,0,1
u000037600,p02578,1,105,105,32232,124,10,0.0,0,1,3,1,0,100.0,1,0,0,0
u000037600,p02582,4,28,34,9000,110,10,0.0,0,1,3,1,0,100.0,1,0,0,3
u000037600,p02583,1,153,153,9204,284,10,0.0,0,2,3,3,0,100.0,1,0,0,0
u000037600,p02584,2,2206,2206,9066,102,8,0.0,0,0,2,1,0,100.0,0,0,0,2
u000037600,p02596,5,24,2206,9797,133,11,0.0,0,2,2,1,0,60.0,0,3,1,1
u000037600,p02606,1,26,26,9092,96,6,0.0,0,1,1,1,0,100.0,1,0,0,0
u000037600,p02607,1,30,30,9164,115,7,0.0,0,1,3,1,0,100.0,1,0,0,0
u000037600,p02612,1,30,30,9152,50,5,0.0,0,0,2,1,0,0.0,1,0,0,0
u000037600,p02613,1,142,142,9204,229,19,0.0,0,4,6,1,0,100.0,1,0,0,0
u000037600,p02614,1,87,87,74448,209,12,0.0,0,1,2,2,0,100.0,0,1,0,0
u000037600,p02615,1,147,147,31472,131,8,0.0,0,0,4,1,0,100.0,1,0,0,0
u000037600,p02622,1,73,73,12360,117,9,0.0,0,1,3,1,0,100.0,1,0,0,0
u000037600,p02623,8,26,735,53022,351,18,0.0,0,2,6,1,0,100.0,1,2,0,5
u000037600,p02624,7,29,3327,178586,142,9,0.0,0,1,3,1,0,85.71428571,1,1,3,2
u000037600,p02630,11,25,3386,25268,205,11,0.0,0,1,4,1,0,100.0,1,3,5,2
u000037600,p02631,1,164,164,31404,132,9,0.0,0,0,4,2,0,100.0,1,0,0,0
u000037600,p02639,1,23,23,8960,137,11,0.0,0,4,0,0,0,0.0,1,0,0,0
u000037600,p02640,1,27,27,9148,90,5,0.0,0,1,0,0,0,0.0,1,0,0,0
u000037600,p02641,1,30,30,8936,126,8,0.0,0,1,1,1,0,0.0,0,0,0,1
u000037600,p02676,3,24,30,9045,76,6,0.0,0,1,2,0,0,0.0,1,0,0,2
u000037600,p02677,2,28,32,9348,134,6,0.0,0,0,3,0,0,0.0,1,0,0,1
u000037600,p02682,1,25,25,9192,123,9,0.0,0,2,1,0,0,0.0,0,1,0,0
u000037600,p02683,1,92,92,9168,426,22,0.0,0,4,6,4,0,100.0,1,0,0,0
u000037600,p02684,8,2206,2208,49232,245,15,0.0,0,1,4,1,0,0.0,0,2,0,6
u000037600,p02699,1,33,33,9132,77,5,0.0,0,1,0,0,0,0.0,1,0,0,0
u000037600,p02711,2,25,27,9088,65,5,0.0,0,1,1,0,0,0.0,1,1,0,0
u000037600,p02718,6,25,29,9148,144,8,0.0,0,1,2,0,0,0.0,1,0,0,5
u000037600,p02729,1,26,26,9164,74,3,0.0,0,0,1,0,0,0.0,1,0,0,0
u000040786,p02570,1,28,28,9148,87,5,0.0,0,1,0,0,0,0.0,0,0,0,1
u000040786,p02576,1,29,29,9124,88,7,0.2,0,0,1,1,0,0.0,1,0,0,0
u000040786,p02578,1,102,102,25200,135,10,0.0,0,2,4,1,0,100.0,1,0,0,0
u000040786,p02584,2,26,31,9156,136,8,0.0,0,2,2,0,0,0.0,1,0,0,1
u000040786,p02614,1,65,65,9192,402,18,0.31,0,3,3,4,0,100.0,1,0,0,0
u000040786,p02683,1,40,40,9312,417,14,0.08,0,3,3,0,0,0.0,1,0,0,0
u000040786,p02772,5,28,32,9129,124,3,0.0,0,1,2,0,1,0.0,1,0,0,4
u000040786,p02933,2,17,17,2940,80,6,0.0,0,1,2,0,0,0.0,1,1,0,0
u000040786,p02945,1,17,17,3068,59,2,0.0,0,0,0,0,0,0.0,1,0,0,0
u000040786,p03329,3,30,2206,9107,342,27,0.15,0,3,6,4,0,77.77666667,1,0,0,2
u000040786,p03352,4,25,2206,9069,112,7,0.0,0,1,2,2,0,100.0,1,0,1,2
u000057899,p02546,1,62,62,61748,91,8,0.4,0,2,1,0,1,0.0,1,0,0,0
u000085263,p02582,1,35,35,9092,92,7,0.0,0,1,2,1,0,100.0,1,0,0,0
u000085263,p02584,6,30,36,9123,220,12,0.0,1,2,1,0,0,0.0,1,0,0,5
