user_id,submission_count,avg_cpu_time,avg_memory,avg_code_size,avg_total_lines,avg_line_spacing,avg_total_comments,avg_if_else_count,avg_total_variables,avg_loop_count,avg_capitalized_variable_names,avg_percentage_for_loops,avg_submission_count_per_problem,accepted_count,runtime_error_count,wrong_answer_count,time_limit_exceeded_count
u000022466,2,85,9344,441,29,0,0,1,7,2,4,100,1,2,0,0,0
u000037600,80,914,36351,172,10,0,0,1,3,1,0,58,3,24,14,33,9
u000040786,22,239,9022,169,10,0,0,1,2,1,0,38,2,10,1,10,1
u000057899,1,62,61748,91,8,0,0,2,1,0,1,0,1,1,0,0,0
u000085263,102,262,12099,218,11,0,0,1,3,1,0,51,2,56,4,34,8
u000100945,4,27,9070,161,10,0,0,2,0,0,0,0,4,1,0,3,0
u000113982,2,19,3128,138,8,0,0,1,3,0,0,50,1,2,0,0,0
u000123984,11,17,2973,127,6,0,0,1,2,0,0,18,3,5,0,6,0
u000138965,14,872,72164,276,14,0,1,2,2,1,0,71,2,7,2,3,2
u000163577,11,22,5074,226,12,0,0,0,4,1,0,18,3,4,1,6,0
u000202147,3,20,5577,54,4,0,0,0,1,0,0,0,1,3,0,0,0
u000212387,47,224,9280,153,9,0,0,1,2,1,1,51,2,25,9,11,2
u000217193,10,782,3336,620,23,0,1,2,8,3,0,100,10,2,0,8,0
u000217253,1,17,3060,282,17,0,0,3,2,0,0,0,1,1,0,0,0
u000274293,13,19,3014,154,8,0,0,0,4,1,1,77,3,3,3,7,0
u000298463,7,27,9089,202,10,0,0,2,1,1,1,71,2,3,1,3,0
u000317780,15,24,7606,338,19,0,1,2,2,1,0,80,2,11,0,3,0
u000349418,75,252,14379,344,19,0,0,3,5,1,1,23,1,48,7,17,3
u000351359,2,490,48420,154,8,0,0,1,2,1,0,50,1,2,0,0,0
u000423993,1,18,2940,69,7,0,0,0,4,0,1,0,1,0,0,1,0
u000475862,3,83,11216,365,22,0,0,2,5,2,0,100,3,0,2,1,0
u000488654,7,17,2993,220,12,0,0,2,3,1,1,43,7,2,2,3,0
u000502998,4,12,6381,201,14,0,0,1,4,2,3,100,1,4,0,0,0
u000513658,80,392,34928,270,15,0,0,2,3,1,1,69,2,39,5,31,5
u000531457,1,0,0,5,1,0,0,0,0,0,0,0,1,0,1,0,0
u000540018,6,777,15243,212,10,0,1,1,2,0,0,33,3,2,2,0,2
u000551081,1,5310,5660,272,17,0,0,2,6,3,1,100,1,1,0,0,0
u000557170,144,357,36113,1083,62,0,3,6,7,2,0,88,2,74,8,46,16
u000579017,13,191,10424,321,14,0,0,2,2,1,0,38,2,7,0,5,1
u000579298,1,17,2940,97,9,0,0,1,3,1,3,100,1,1,0,0,0
u000623733,191,721,30626,405,20,0,0,2,4,2,1,66,2,93,19,62,17
u000634997,11,1422,100334,357,23,0,1,2,5,2,3,73,2,3,1,3,4
u000644874,3,24,9040,113,6,0,0,1,1,0,0,33,3,1,2,0,0
u000660752,19,1199,31800,492,24,0,0,6,6,1,1,34,4,2,2,8,7
u000671615,2,30,9166,105,8,0,0,3,1,0,0,0,2,0,0,2,0
u000690114,14,330,7475,128,7,0,0,1,1,0,0,14,3,4,1,7,2
u000698877,44,663,14854,183,10,0,0,1,2,1,1,52,2,22,0,14,8
u000722083,8,57,7802,154,10,1,0,0,4,1,2,62,1,7,0,1,0
u000770457,18,134,3015,165,13,0,0,2,3,1,0,67,2,9,3,6,0
u000820947,3,784,87183,201,14,0,0,2,5,1,0,100,3,0,0,2,1
u000823402,12,366,3779,203,14,0,0,1,4,1,0,42,1,7,0,5,0
u000840710,11,21,3380,228,13,0,0,2,3,1,1,45,2,6,3,2,0
u000842852,29,60,12486,193,12,0,0,2,3,0,2,41,3,15,7,7,0
u000875186,28,135,135493,243,16,0,0,2,6,2,1,62,3,8,5,14,1
u000981235,3,17,2940,161,10,0,0,2,3,1,0,100,3,1,0,2,0
u000984928,2,26,9046,74,6,0,0,1,1,0,0,0,2,2,0,0,0
u000993683,6,1409,29134,443,24,0,3,1,6,2,1,100,2,2,0,3,1
u001024152,180,275,36710,360,17,0,1,2,3,1,1,64,2,119,20,35,6
u001036276,22,570,77351,244,12,0,0,2,3,1,0,55,2,9,1,7,5
u001041019,38,576,16126,262,17,0,1,2,3,2,0,70,1,22,2,11,3
u001092553,1,800,15628,431,22,0,2,1,4,3,0,67,1,1,0,0,0
u001119849,1,260,3064,1172,59,0,1,6,9,7,0,71,1,1,0,0,0
u001166342,7,92,75422,171,10,0,0,2,2,1,1,71,1,4,3,0,0
u001166815,8,22,5580,114,6,0,1,0,1,1,0,50,1,8,0,0,0
u001199868,6,100,74316,112,7,0,0,1,2,1,0,50,1,6,0,0,0
u001204484,8,3301,23119,364,16,0,0,2,4,1,1,44,1,8,0,0,0
