user_id,submission_count,avg_code_size,min_cpu_time,max_cpu_time,avg_memory,avg_total_lines,avg_line_spacing,avg_total_comments,avg_if_else_count,avg_total_variables,avg_loop_count,avg_capitalized_variable_names,avg_percentage_for_loops,acceptance_rate,submissions_per_month
u000022466,2,441,25,145,9344,29,0.45,0,1,7,1,5,100,100,1
u000037600,80,171.88,23,3386,36351.4,10,0,0,1,3,0,0,58,30,27
u000040786,22,168.73,17,2206,9021.64,9,0.05,0,1,2,1,1,38,45.45,8
u000057899,1,91,62,62,61748,8,0.4,0,2,1,0,1,0,100,1
u000085263,102,218.34,22,3308,12098.82,11,0,0,1,3,0,1,51,54.9,34
u000100945,4,160.75,27,28,9070,9,0.13,0,1,0,0,0,0,25,4
u000113982,2,138.5,17,21,3128,8,0,0,1,3,0,0,50,100,1
u000123984,11,126.91,17,18,2973.09,5,0,0,1,1,0,0,19,45.45,11
u000138965,14,276.36,63,2207,72164.29,13,0.09,0,2,2,0,0,72,50,14
u000163577,11,226.18,0,40,5073.82,12,0.19,0,0,4,1,1,19,36.36,11
u000202147,3,54,20,20,5577.33,4,0,0,0,0,0,1,0,100,3
u000212387,47,152.96,17,2105,9279.74,8,0.01,0,0,2,0,2,52,53.19,6
u000217193,10,620,641,1010,3336.4,23,0.11,1,2,8,3,0,100,20,10
u000217253,1,282,17,17,3060,17,0,0,3,2,0,0,0,100,1
u000274293,13,154.08,17,24,3013.85,8,0,0,0,4,0,1,77,23.08,7
u000298463,7,202.29,23,33,9088.57,9,0.07,0,2,1,0,1,72,42.86,7
u000317780,15,337.67,20,30,7605.87,18,0.38,0,1,2,1,1,80,73.33,8
u000349418,75,343.89,17,3156,14378.56,19,0.02,0,2,5,1,2,23,64,8
u000351359,2,154.5,31,949,48420,8,0.11,0,1,1,1,0,50,100,1
u000423993,1,69,18,18,2940,7,0.5,0,0,4,0,1,0,0,1
u000475862,3,364.67,18,148,11216,22,0.39,0,2,5,2,0,100,0,3
